Currency,Year_Month,Average_Close
Bitcoin,2014-09,407.18
Bitcoin,2014-10,364.15
Bitcoin,2014-11,366.1
Bitcoin,2014-12,341.27
Bitcoin,2015-01,248.78
Bitcoin,2015-02,234.15
Bitcoin,2015-03,269.04
Bitcoin,2015-04,235.49
Bitcoin,2015-05,237
Bitcoin,2015-06,238.08
Bitcoin,2015-07,279.56
Bitcoin,2015-08,250.73
Bitcoin,2015-09,233.6
Bitcoin,2015-10,264.86
Bitcoin,2015-11,348.88
Bitcoin,2015-12,424.46
Bitcoin,2016-01,410.84
Bitcoin,2016-02,404.41
Bitcoin,2016-03,416.53
Bitcoin,2016-04,434.34
Bitcoin,2016-05,461.95
Bitcoin,2016-06,642.87
Bitcoin,2016-07,661.36
Bitcoin,2016-08,579.59
Bitcoin,2016-09,605.85
Bitcoin,2016-10,643.55
Bitcoin,2016-11,726.35
Bitcoin,2016-12,828.06
Bitcoin,2017-01,914.92
Bitcoin,2017-02,1062.53
Bitcoin,2017-03,1129.37
Bitcoin,2017-04,1206.64
Bitcoin,2017-05,1895.38
Bitcoin,2017-06,2636.2
Bitcoin,2017-07,2519.42
Bitcoin,2017-08,3880.99
Bitcoin,2017-09,4064.84
Bitcoin,2017-10,5360.07
Bitcoin,2017-11,7813.13
Bitcoin,2017-12,15294.27
Bitcoin,2018-01,13085.56
Bitcoin,2018-02,9472
Bitcoin,2018-03,9040.56
Bitcoin,2018-04,8033.6
Bitcoin,2018-05,8451
Bitcoin,2018-06,6793.51
Bitcoin,2018-07,7146.35
Bitcoin,2018-08,6700.13
Bitcoin,2018-09,6610.68
Bitcoin,2018-10,6485.12
Bitcoin,2018-11,5404.25
Bitcoin,2018-12,3717.49
Bitcoin,2019-01,3701.55
Bitcoin,2019-02,3711.91
Bitcoin,2019-03,3976.07
Bitcoin,2019-04,5178.47
Bitcoin,2019-05,7309.69
Bitcoin,2019-06,9415.9
Bitcoin,2019-07,10669.34
Bitcoin,2019-08,10643.25
Bitcoin,2019-09,9814.07
Bitcoin,2019-10,8411.93
Bitcoin,2019-11,8373.57
Bitcoin,2019-12,7284.01
Bitcoin,2020-01,8389.27
Bitcoin,2020-02,9630.72
Bitcoin,2020-03,6871.02
Bitcoin,2020-04,7224.48
Bitcoin,2020-05,9263.15
Bitcoin,2020-06,9489.23
Bitcoin,2020-07,9589.9
Bitcoin,2020-08,11652.39
Bitcoin,2020-09,10660.28
Bitcoin,2020-10,11886.98
Bitcoin,2020-11,16645.76
Bitcoin,2020-12,21983.14
Bitcoin,2021-01,34761.65
Bitcoin,2021-02,46306.8
Bitcoin,2021-03,54998.01
Bitcoin,2021-04,57206.72
Bitcoin,2021-05,46443.29
Bitcoin,2021-06,35845.15
Bitcoin,2021-07,34444.97
Bitcoin,2021-08,45709.02
Bitcoin,2021-09,45939.77
Bitcoin,2021-10,57911.97
Bitcoin,2021-11,60621.49
Bitcoin,2021-12,49263.21
Bitcoin,2022-01,41114.42
Bitcoin,2022-02,40763.47
Bitcoin,2022-03,41966.24
Bitcoin,2022-04,41435.32
Bitcoin,2022-05,31706.11
Bitcoin,2022-06,24383.69
Bitcoin,2022-07,21539.25
Bitcoin,2022-08,22366.27
Bitcoin,2022-09,19804.78
Bitcoin,2022-10,19650.53
Bitcoin,2022-11,17600.81
Bitcoin,2022-12,16949.61
Bitcoin,2023-01,20250.72
Bitcoin,2023-02,23304.54
Bitcoin,2023-03,25116.9
Bitcoin,2023-04,28857.57
Bitcoin,2023-05,27499.31
Bitcoin,2023-06,27763.2
Bitcoin,2023-07,30057.47
Bitcoin,2023-08,27852.79
Bitcoin,2023-09,26306.14
Bitcoin,2023-10,29755.9
Bitcoin,2023-11,36596.16
Bitcoin,2023-12,42546.89
Bitcoin,2024-01,42919.61
Bitcoin,2024-02,49875.17
Bitcoin,2024-03,67702.44
Bitcoin,2024-04,66652.49
